Date,Temperature,pH,DO,Turbidity(V),TDS,EC,WQI,WQC,Numeric_WQC,Verdict
8/15/2020 0:00,33.44,7.55,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:01,33.44,7.94,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:03,33.44,7.88,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:05,33.44,7.82,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:06,33.44,8.01,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:08,33.44,7.88,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:10,33.44,7.97,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:11,33.44,8.06,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:13,33.44,7.89,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:15,33.44,7.91,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:16,33.44,8.06,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:18,33.5,7.95,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 0:20,33.5,7.95,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:21,33.5,7.85,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:23,33.5,7.93,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:25,33.44,7.71,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:26,33.5,7.87,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:28,33.44,7.78,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:30,33.5,7.88,7,4.13,286,0.78,91.19,Very Good,1,0
8/15/2020 0:31,33.5,8.03,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:33,33.5,7.91,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:35,33.44,7.84,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:36,33.44,7.87,7,4.13,291,0.79,91.19,Very Good,1,0
8/15/2020 0:38,33.5,7.78,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:40,33.44,7.8,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:41,33.44,7.93,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:43,33.5,7.91,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:45,33.5,7.98,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 0:46,33.5,7.94,7,4.14,291,0.78,91.19,Very Good,1,0
8/15/2020 0:48,33.44,7.87,7,4.13,289,0.78,91.19,Very Good,1,0
8/15/2020 0:50,33.44,8.1,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:51,33.5,7.97,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:53,33.5,7.8,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:55,33.5,7.86,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:56,33.5,7.89,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 0:58,33.44,8.11,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 1:00,33.5,7.86,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 1:01,33.5,7.93,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 1:03,33.5,7.78,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:05,33.5,7.92,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:06,33.5,7.92,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:08,33.5,7.91,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:10,33.5,7.89,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:11,33.5,8.05,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:13,33.5,7.9,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:15,33.5,8.23,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:16,33.5,7.83,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:18,33.5,7.97,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:20,33.5,7.82,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:21,33.5,7.87,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:23,33.5,7.81,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:25,33.5,7.8,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:26,33.5,7.72,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:28,33.5,7.81,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:30,33.5,8.06,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:31,33.5,7.87,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:33,33.5,7.82,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:35,33.5,8.02,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:36,33.56,7.73,7,4.14,288,0.78,91.19,Very Good,1,0
8/15/2020 1:38,33.5,7.89,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:40,33.5,7.93,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:41,33.5,7.83,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 1:43,33.44,7.86,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:45,33.5,7.73,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:46,33.5,7.78,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:48,33.56,7.68,7,4.14,286,0.77,91.19,Very Good,1,0
8/15/2020 1:50,33.5,7.74,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 1:51,33.56,7.98,7,4.13,286,0.77,91.19,Very Good,1,0
8/15/2020 1:53,33.56,7.95,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 1:55,33.56,7.92,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 1:56,33.56,7.94,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 1:58,33.56,7.92,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 2:00,33.56,7.8,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 2:01,33.56,7.7,7,4.14,281,0.76,91.53,Very Good,1,0
8/15/2020 2:03,33.56,8,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 2:05,33.5,7.89,7,4.14,276,0.75,91.53,Very Good,1,0
8/15/2020 2:06,33.56,7.91,7,4.14,276,0.75,91.53,Very Good,1,0
8/15/2020 2:08,33.56,7.74,7,4.14,276,0.75,91.53,Very Good,1,0
8/15/2020 2:10,33.56,7.8,7,4.14,278,0.75,91.53,Very Good,1,0
8/15/2020 2:11,33.56,7.89,7,4.14,281,0.76,91.53,Very Good,1,0
8/15/2020 2:13,33.56,7.88,7,4.14,283,0.77,91.19,Very Good,1,0
8/15/2020 2:15,33.63,7.81,7,4.14,288,0.78,91.19,Very Good,1,0
8/15/2020 2:16,33.63,8.16,7,4.13,296,0.8,90.85,Very Good,1,0
8/15/2020 2:18,33.63,7.89,7,4.13,293,0.8,91.19,Very Good,1,0
8/15/2020 2:20,33.63,7.84,7,4.14,293,0.8,91.19,Very Good,1,0
8/15/2020 2:21,33.63,7.97,7,4.14,293,0.8,91.19,Very Good,1,0
8/15/2020 2:23,33.44,8.06,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:25,33.5,7.95,7,4.14,286,0.78,91.19,Very Good,1,0
8/15/2020 2:26,33.5,7.95,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:28,33.5,7.85,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:30,33.5,7.93,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:31,33.44,7.71,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:33,33.5,7.87,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:35,33.44,7.78,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:36,33.5,7.88,7,4.13,286,0.78,91.19,Very Good,1,0
8/15/2020 2:38,33.5,8.03,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:40,33.5,7.91,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:41,33.44,7.84,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:43,33.44,7.87,7,4.13,291,0.79,91.19,Very Good,1,0
8/15/2020 2:45,33.5,7.78,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:46,33.44,7.8,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:48,33.44,7.93,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:50,33.5,7.91,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:51,33.5,7.98,7,4.14,289,0.78,91.19,Very Good,1,0
8/15/2020 2:53,33.5,7.94,7,4.14,291,0.78,91.19,Very Good,1,0
8/15/2020 2:55,33.44,7.87,7,4.13,289,0.78,91.19,Very Good,1,0
8/15/2020 2:56,33.44,8.1,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 2:58,33.5,7.97,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 3:00,33.5,7.8,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 3:01,33.5,7.86,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 3:03,33.5,7.89,7,4.14,291,0.79,91.19,Very Good,1,0
8/15/2020 3:05,33.44,8.11,7,4.14,291,0.79,91.19,Very Good,1,0
